Category,FeatureName,EnabledRisk,DisabledRisk,Description
Performance,StartupBoost,2,1,'Speeds up browser launch by running in background.'
Performance,SleepingTabs,1,3,'Reduces RAM/CPU usage by suspending inactive tabs.'
Performance,EfficiencyMode,1,3,'Optimizes battery life by throttling performance.'
Security,TrackingPrevention,1,4,'Blocks third-party trackers (Basic/Balanced/Strict).'
Security,InPrivateMode,1,3,'Private browsing with no history/cookie retention.'
Security,PasswordMonitor,1,5,'Alerts if saved passwords are leaked in breaches.'
Security,SmartScreen,1,5,'Blocks phishing/malware sites and downloads.'
Security,SecureDNS(DoH),1,3,'Encrypts DNS queries to prevent snooping.'
Security,KidsMode,1,4,'Child-safe browsing with content restrictions.'
Security,MSAbydos,2,3,'Microsoft's experimental web authentication system.'
Security,SuperDuperSecureMode,2,4,'Disables JIT to reduce exploit risks (experimental).'
Security,WebView2Sandbox,1,5,'Runs WebView2 in a restricted sandbox (critical if disabled).'
Security,Win32kLockdown,2,4,'Blocks legacy Win32k syscalls (security hardening).'
Productivity,Collections,1,2,'Organize web content into shareable lists.'
Productivity,VerticalTabs,1,1,'Displays tabs vertically for better management.'
Productivity,TabGroups,1,1,'Group tabs by color/category.'
Productivity,ReadAloud,1,1,'Text-to-speech for web pages.'
Productivity,ImmersiveReader,1,1,'Simplifies pages for distraction-free reading.'
Productivity,WebCapture,1,1,'Screenshot tool with annotations.'
Productivity,MathSolver,1,1,'Solves math problems from images/text.'
Productivity,Workspaces,1,2,'Syncs tab groups across devices (preview).'
AI,CopilotIntegration,2,1,'AI-powered assistant for queries/content.'
AI,SmartFind,1,1,'Highlights searched terms on pages.'
AI,AIGeneratedThemes,1,1,'Creates custom themes via AI prompts.'
AI,EdgeShoppingAssistant,2,1,'Price comparisons/coupons (data sent to Microsoft).'
Compatibility,IEMode,3,1,'Runs legacy IE-dependent sites (deprecated).'
Compatibility,ChromiumEngine,1,5,'Underlying browser engine (Blink/V8).'
Compatibility,WebView2Runtime,1,3,'Required for embedded WebView2 apps (breaks apps if disabled).'
Compatibility,WebView2UserDataFolder,2,3,'Stores cache/cookies for WebView2 (privacy risk if enabled).'
Extensions,EdgeAddons,1,3,'Official extension store (lower risk than third-party).'
Extensions,ChromeWebStore,2,1,'Allows installing extensions from Chrome store.'
Sync,CrossDeviceSync,2,3,'Syncs history/passwords/tabs across devices.'
Sync,HistorySync,2,3,'Shares browsing history between signed-in devices.'
Sync,PasswordSync,2,5,'Syncs saved passwords (risk if compromised).'
Accessibility,ScreenReaderSupport,1,3,'Compatibility with JAWS/NVDA.'
Accessibility,HighContrastMode,1,1,'Improves visibility for low-vision users.'
Accessibility,TextSizeAdjustment,1,1,'Zoom/text scaling for readability.'
Experimental,EdgeWallet,2,3,'Crypto wallet for Web3 (beta).'
Experimental,WebSelect,1,1,'Text extraction tool (OCR-like).'
Experimental,PDFEditing,1,1,'Built-in PDF annotation/editing.'
Experimental,VRViewer,1,1,'WebXR/VR content support (deprecated).'
WebView2,WebView2AcceleratorKeys,1,2,'Enables keyboard shortcuts in WebView2.'
WebView2,WebView2AutoResize,1,1,'Automatically resizes WebView2 to fit content.'
WebView2,WebView2BrowserProcessExits,2,3,'Allows WebView2 to exit parent process (security risk if enabled).'
WebView2,WebView2ClearBrowsingData,1,3,'Clears cache/cookies in WebView2 (privacy).'
WebView2,WebView2DefaultContextMenus,1,1,'Enables default right-click menus.'
WebView2,WebView2DisableDevTools,2,1,'Blocks DevTools access (security vs. debugging tradeoff).'
WebView2,WebView2DownloadAPI,1,3,'Allows file downloads (malware risk if abused).'
WebView2,WebView2Fullscreen,1,2,'Enables fullscreen mode (UI spoofing risk).'
WebView2,WebView2HiddenPdfToolbar,1,1,'Hides PDF toolbar in WebView2.'
WebView2,WebView2HostObjects,2,4,'Exposes .NET objects to JS (high risk if misconfigured).'
WebView2,WebView2PinchZoom,1,1,'Enables touchpad pinch-to-zoom.'
WebView2,WebView2ScriptDialogs,1,3,'Allows JS alerts/prompts (annoyance/phishing risk).'
WebView2,WebView2StatusBar,1,1,'Shows status bar for hover links.'
WebView2,WebView2SwipeNavigation,1,1,'Enables touchscreen swipe gestures.'
WebView2,WebView2ZoomControl,1,1,'Enables manual zoom controls.'
