Command,Type
Add-Type,powershell.exe
AddSecurityPackage,powershell.exe
AdjustTokenPrivileges,powershell.exe
AllocHGlobal,powershell.exe
BindingFlags,powershell.exe
Bypass,powershell.exe
CloseHandle,powershell.exe
CreateDecryptor,powershell.exe
CreateEncryptor,powershell.exe
CreateProcessWithToken,powershell.exe
CreateRemoteThread,powershell.exe
CreateThread,powershell.exe
CreateType,powershell.exe
CreateUserThread,powershell.exe
Cryptography,powershell.exe
CryptoServiceProvider,powershell.exe
CryptoStream,powershell.exe
DangerousGetHandle,powershell.exe
DeclaringMethod,powershell.exe
DeclaringType,powershell.exe
DefineConstructor,powershell.exe
DefineDynamicAssembly,powershell.exe
DefineDynamicModule,powershell.exe
DefineEnum,powershell.exe
DefineField,powershell.exe
DefineLiteral,powershell.exe
DefinePInvokeMethod,powershell.exe
DefineType,powershell.exe
DeflateStream,powershell.exe
DeviceIoControl,powershell.exe
DllImport,powershell.exe
DuplicateTokenEx,powershell.exe
Emit,powershell.exe
EncodedCommand,powershell.exe
EnumerateSecurityPackages,powershell.exe
ExpandString,powershell.exe
FreeHGlobal,powershell.exe
FreeLibrary,powershell.exe
FromBase64String,powershell.exe
GetAssemblies,powershell.exe
GetAsyncKeyState,powershell.exe
GetConstructor,powershell.exe
GetConstructors,powershell.exe
GetDefaultMembers,powershell.exe
GetDelegateForFunctionPointer,powershell.exe
GetEvent,powershell.exe
GetEvents,powershell.exe
GetField,powershell.exe
GetFields,powershell.exe
GetForegroundWindow,powershell.exe
GetInterface,powershell.exe
GetInterfaceMap,powershell.exe
GetInterfaces,powershell.exe
GetKeyboardState,powershell.exe
GetLogonSessionData,powershell.exe
GetMember,powershell.exe
GetMembers,powershell.exe
GetMethod,powershell.exe
GetMethods,powershell.exe
GetModuleHandle,powershell.exe
GetNestedType,powershell.exe
GetNestedTypes,powershell.exe
GetPowerShell,powershell.exe
GetProcAddress,powershell.exe
GetProcessHandle,powershell.exe
GetProperties,powershell.exe
GetProperty,powershell.exe
GetTokenInformation,powershell.exe
GetTypes,powershell.exe
ILGenerator,powershell.exe
ImpersonateLoggedOnUser,powershell.exe
InteropServices,powershell.exe
IntPtr,powershell.exe
InvokeMember,powershell.exe
kernel32,powershell.exe
LoadLibrary,powershell.exe
LogPipelineExecutionDetails,powershell.exe
MakeArrayType,powershell.exe
MakeByRefType,powershell.exe
MakeGenericType,powershell.exe
MakePointerType,powershell.exe
Marshal,powershell.exe
memcpy,powershell.exe
MemoryStream,powershell.exe
Methods,powershell.exe
MiniDumpWriteDump,powershell.exe
NonPublic,powershell.exe
OpenDesktop,powershell.exe
OpenProcess,powershell.exe
OpenProcessToken,powershell.exe
OpenThreadToken,powershell.exe
OpenWindowStation,powershell.exe
PasswordDeriveBytes,powershell.exe
Properties,powershell.exe
ProtectedEventLogging,powershell.exe
PtrToString,powershell.exe
PtrToStructure,powershell.exe
ReadProcessMemory,powershell.exe
ReflectedType,powershell.exe
RevertToSelf,powershell.exe
RijndaelManaged,powershell.exe
ScriptBlockLogging,powershell.exe
SetInformationProcess,powershell.exe
SetThreadToken,powershell.exe
SHA1Managed,powershell.exe
StructureToPtr,powershell.exe
ToBase64String,powershell.exe
TransformFinalBlock,powershell.exe
TypeHandle,powershell.exe
TypeInitializer,powershell.exe
UnderlyingSystemType,powershell.exe
UnverifiableCodeAttribute,powershell.exe
VirtualAlloc,powershell.exe
VirtualFree,powershell.exe
VirtualProtect,powershell.exe
WriteByte,powershell.exe
WriteInt32,powershell.exe
WriteProcessMemory,powershell.exe
ZeroFreeGlobalAllocUnicode,powershell.exe
